matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -981 0.0202039 0.0180441 36.9976 86.07828994196635 0.755598 0.77027 71.1154 27.2707 0.0146718 0 0.0146718 0.0220077 0.0220077 0.0146718 0 0 0
mat: -980 0.021203 0.0189452 36.9957 86.02517327207501 0.795367 0.810811 70.832 27.4691 0.015444 0 0.015444 0.023166 0.023166 0.015444 0 0 0
mat: -979 0.0222022 0.0198471 36.9937 85.97215097509878 0.835135 0.851351 70.5486 27.6676 0.0162162 0 0.0162162 0.0243243 0.0243243 0.0162162 0 0 0
mat: -978 0.0232013 0.0207499 36.9917 85.91917805495834 0.874904 0.891892 70.2653 27.866 0.0169884 0 0.0169884 0.0254826 0.0254826 0.0169884 0 0 0
mat: -977 0.0242005 0.0216534 36.9897 85.86630723366655 0.914672 0.932432 69.9818 28.0645 0.0177606 0 0.0177606 0.0266409 0.0266409 0.0177606 0 0 0
mat: -976 0.0251996 0.0225579 36.9878 85.81348410348589 0.95444 0.972973 69.6985 28.2629 0.0185328 0 0.0185328 0.0277992 0.0277992 0.0185328 0 0 0
mat: -975 0.0261988 0.0234631 36.9858 85.76075642805702 0.994208 1.01351 69.4151 28.4614 0.019305 0 0.019305 0.0289575 0.0289575 0.019305 0 0 0
mat: -974 0.0271979 0.0243692 36.9838 85.70807375390208 1.03398 1.05405 69.1317 28.6598 0.0200772 0 0.0200772 0.0301158 0.0301158 0.0200772 0 0 0
mat: -973 0.0281971 0.025276 36.9818 85.65548726230736 1.07375 1.09459 68.8483 28.8583 0.0208494 0 0.0208494 0.0312741 0.0312741 0.0208494 0 0 0
mat: -972 0.0291962 0.0261838 36.9799 85.6029984177115 1.11351 1.13514 68.5649 29.0568 0.0216216 0 0.0216216 0.0324324 0.0324324 0.0216216 0 0 0
mat: -971 0.0301954 0.0270923 36.9779 85.55053959981362 1.15328 1.17568 68.2815 29.2552 0.0223938 0 0.0223938 0.0335907 0.0335907 0.0223938 0 0 0
mat: -970 0.0311945 0.0280017 36.9759 85.49817159467509 1.19305 1.21622 67.9981 29.4537 0.023166 0 0.023166 0.034749 0.034749 0.023166 0 0 0
