Epoch,Training Loss,Validation Loss
0,0.019815589577008626,0.003912204239321382
1,0.004408274002152642,0.0025830061518047984
2,0.003248549418793501,0.002518670988808337
3,0.002821844307044031,0.001814409845361584
4,0.0025117766383214316,0.0016280376340115541
5,0.0023231344928621852,0.001444218208474156
6,0.002166657760665801,0.0014299162920858514
7,0.002144500728096127,0.001275978676092468
8,0.001920572489708368,0.0012083189182081505
9,0.0018513258125351154,0.0011421784660533855
10,0.0017496630990583646,0.001066330342406505
11,0.0015683201092638467,0.0010225365312132788
12,0.0014156013662853326,0.0009781104071359885
13,0.0012801331896825057,0.0009299755084181303
14,0.001203093208651377,0.0009952722895449323
15,0.0015111312264037367,0.0009304629271163753
16,0.0012617269599822496,0.0008332627660006677
17,0.0009573906178334973,0.0008275858371665603
18,0.0008436320024070722,0.0007514894088289063
19,0.0009508873883628679,0.0009461415282107497
20,0.0008220375966629945,0.0006549459863699189
21,0.0008112522038189988,0.0006650978282682205
22,0.0007404641874018125,0.0005877310667481078
23,0.0007874570079653303,0.0018672995624671642
24,0.0007640721416560394,0.0005739282504165251
25,0.0005934645810875258,0.0005050925277541147
26,0.0005104134855317074,0.0006619388311121025
27,0.0005216533390921541,0.0004902001972751398
28,0.0004948448614940341,0.00043404178454932804
29,0.00044507265518309156,0.0006149701749611842
30,0.0004596159386365846,0.0003959140418661072
31,0.0005951466231827477,0.00045841066381207814
32,0.0005049605960697303,0.00037963271116543755
33,0.0006269756731375022,0.00036761881538519735
34,0.00040921389881987125,0.00035393148611642813
35,0.0003702161164638758,0.00032955141260141606
36,0.0003365984812262468,0.00031171162386032706
37,0.0003529589352853547,0.00030883244931158657
38,0.00033941157399615466,0.00028627685203805173
39,0.0003413141843530435,0.0004655637787532453
40,0.00036856744382499817,0.00029050385944030593
41,0.0004414403445384539,0.00033690739349511107
42,0.0003346187226462031,0.00027134686120246584
43,0.00034426679734391846,0.00027741179311353907
44,0.0002885024389941368,0.0002685184452658225
45,0.0002913192975507914,0.00033012726864973575
46,0.0002773953675434888,0.00025639088600751405
47,0.00029143867916565415,0.0002350806148330632
48,0.00027107885723939704,0.00022598409314492814
49,0.0003267251620280532,0.0003028569879365693
50,0.00031373540945136674,0.00025047722202113
51,0.00029112122090162683,0.0017594154372713284
52,0.00040834106192433914,0.00022383963024415272
53,0.0006272045222048243,0.00033876964650852114
54,0.000297080369196728,0.0003282529023157335
55,0.00027386149036158855,0.000246996416152749
56,0.0002566675362973719,0.0004771639053758822
57,0.0003565662215183501,0.00022165589785129813
58,0.0002755044831581855,0.00022714721011365518
59,0.0002474493865424608,0.00019680887558742573
60,0.0002232177324147319,0.0009229750782986613
61,0.0002872319326247395,0.00020361347522243465
62,0.0003125815334274911,0.00020279473851827023
63,0.00020756405999571527,0.00021888828058236917
64,0.00021530056820713645,0.00018311219250072579
65,0.0002021931233780618,0.000197934978610934
66,0.00023464157952969944,0.00018235641733841285
67,0.0002104219973644879,0.0001915700582015377
68,0.000194482328017904,0.00017447523867686917
69,0.0001873296922368402,0.0001692416492579995
70,0.00019960638794720196,0.00017934833120211566
71,0.0002061645104013702,0.00017255010300830595
72,0.0001983129015187794,0.0001705505411863621
73,0.00018039092298606288,0.00017054039543788684
74,0.00018073995938481713,0.00016590948048121246
75,0.00017220135195154733,0.00016767879424151033
76,0.000173658363277546,0.00015692948823255537
77,0.00016367928793969391,0.00041899871767351503
78,0.0002698577102005641,0.0001638092270647911
79,0.00024125676995218352,0.0002564958290589091
80,0.00020976587582385706,0.00015595567789492443
81,0.0002004988247886343,0.00015992164308523856
82,0.0001638231693313604,0.00015001350977016906
83,0.0001625545706989023,0.00025800628416044146
84,0.00019818446392156673,0.0001552277390146628
85,0.00022189588554810094,0.00019951940492702355
86,0.00017281805110925283,0.00015031335581290093
87,0.00017897462782313691,0.00017400800042148483
88,0.00016388695367870816,0.0001519994249591898
89,0.00015821701287533965,0.00014885117247774216
90,0.00018100687664532176,0.0001535513905477465
91,0.0001554174221286973,0.00030589930094337384
92,0.00015842392995660989,0.00022061105348831532
93,0.0001616519801628831,0.00014151253861583476
94,0.00013262008475354187,0.00016097011393867433
95,0.00014163960029116808,0.00013485251723690644
96,0.00014160282358046205,0.00013881100618929945
97,0.00015720768820564875,0.0002553562992129867
98,0.0001842128246464295,0.00013944924208580663
99,0.00018014703891822137,0.0001332979644710002
100,0.00014095070769383855,0.00012604342038302044
101,0.00013202163580373102,0.00012588504614541307
102,0.00012198278608067133,0.0001612194824510401
103,0.00015948137905453272,0.00012509906963187908
104,0.00014675868016255614,0.00013006266932566896
105,0.00011889306484877842,0.00021111169572625505
106,0.00014045118768990505,0.0001416166571863486
107,0.00013659829815687293,0.0001307069534576792
108,0.00017871855413288454,0.00021940968489568484
109,0.00016697932125297435,0.00015747420011872522
110,0.0007314265312743373,0.00019925331166871873
111,0.0002385874987866325,0.00020754610963386337
112,0.00019850268903323203,0.0001612576743355021
113,0.00016544203926490523,0.00013961462153881592
114,0.00014102791575217117,0.00013597489458717113
115,0.00012913563745984758,0.00013027663877246117
116,0.00012142958401359225,0.00013605836973415295
117,0.00012483578029787168,0.00012568094481187137
118,0.00011488256093702818,0.00015049109443728077
119,0.00013463154271831676,0.00017770859994925559
120,0.00014626634617199765,0.0001213940861481732
121,0.0001405507443785992,0.0001218076668967689
122,0.0001234177692056523,0.00011798854929542071
123,0.00011684779847679525,0.00011664093472063541
124,0.00011474199331324168,0.00011594391023544104
125,0.00011354830171752071,0.0001195502267556118
126,0.00011313142385915853,0.00011331149519384398
127,0.00010690473616130858,0.00011993949852981849
128,0.0001148893626649576,0.00011140565842843468
129,0.00012516755568388986,0.00011616448663469208
130,0.00015658833753581062,0.00011797337586023404
131,0.00014112761642823707,0.00011720185782331483
132,0.0001393339001113322,0.00015454657075583542
133,0.00012458539497042933,0.00010947943519568071
134,0.00011912043143973661,0.00011017349453667473
135,0.00010243775173684729,0.00012246829857375766
136,0.00010580778067187087,0.00013942797714231633
137,0.00010751760462306648,0.00011860422053264062
138,0.00011274345170501252,0.00011783441196281561
139,0.00010905038030422905,0.0001127731080295665
140,0.00010773025827036595,0.00011330916497268175
141,0.00011493783250970362,0.00011546320379956772
142,0.00010755488878394796,0.00015284889913776793
143,0.0001309885852893594,0.00011179197463206947
144,0.0001257195776576593,0.00013930058201750447
145,0.00011084896394956894,0.00011195933314554982
146,0.00010069840166244448,0.00017554685013907912
147,0.00011030356228346998,0.00011097344548416961
148,9.899432748888533e-05,0.00014804619346059074
149,0.00010696475615795383,0.00011317036612461762
150,0.00011046411868607577,0.00010117085950792228
151,9.818591508136658e-05,0.0001264939518908872
152,0.00010093313975582867,0.0001175251979331829
153,0.00010762370469532662,0.0001088733965604517
154,0.00011280398398651557,0.00010462885371740221
155,9.961443509765606e-05,0.00011392718787599159
156,0.00010915235131841128,0.00010192260149204613
157,0.0001069403483358512,0.00010824489321461634
158,0.00011137128402831302,0.00010976092438029714
159,9.956430868011299e-05,0.00010906482700528086
160,0.00010039531128457288,0.00010161896467539726
161,9.613446194347681e-05,0.0001013356392688461
162,0.00010054567797181478,0.00010190829925704747
163,9.140197098052962e-05,9.707900569896753e-05
164,8.848498488365102e-05,9.605363447917625e-05
165,9.193550622991384e-05,0.00010240559411039085
166,0.00010719880456714523,0.00010750029583792447
167,0.00010551239493476092,9.673072092578207e-05
168,0.00010272983720489337,9.841983525180502e-05
169,9.286538017094197e-05,9.901110867136403e-05
170,8.975103874993358e-05,0.0001044250752066115
171,9.084649019840933e-05,0.00010596514728508497
172,9.176220943405305e-05,9.302830815278484e-05
173,0.00011157661404132868,9.43431380284509e-05
174,0.00010514278839860038,0.00010689374443915624
175,0.00012003546783633187,0.0004094629900799574
176,0.0001611470288480632,0.00010924218459924879
177,0.00010333402157189802,0.00011407891150539447
178,9.760580920364621e-05,9.451741674351261e-05
179,8.525881266426663e-05,9.234497050975303e-05
180,8.111628978057477e-05,9.678955431905036e-05
181,8.01249925404447e-05,0.00010157010087584097
182,8.486227675587686e-05,0.00011006986881655298
183,0.00010207284168772228,9.649310729735972e-05
184,9.722078132319056e-05,9.115815613002174e-05
185,7.882394055214765e-05,0.0001480610172668668
186,8.34604638360983e-05,9.946699068869318e-05
187,8.497038269476769e-05,9.181181973728694e-05
188,7.904246970275907e-05,9.247202596222786e-05
189,7.888638906718513e-05,9.696113403678235e-05
190,8.091235191673867e-05,8.866677250664093e-05
191,7.926435070035758e-05,0.00016659640670312862
192,8.441813349092722e-05,8.971118490750853e-05
193,7.524140559517516e-05,9.09895832975101e-05
194,7.390060686942122e-05,9.772624463565942e-05
195,7.643592013999678e-05,9.22513607197049e-05
196,8.153566637989378e-05,8.833442054884999e-05
197,8.301760669239324e-05,0.00010022612542869817
198,9.107181286756378e-05,0.00010499442693176924
199,9.896027184272258e-05,9.770277469406689e-05
200,9.734023794743208e-05,8.978029386765372e-05
201,0.00012013618106720969,9.057002630709719e-05
202,9.08447195558294e-05,9.134976923968152e-05
203,7.573791921650379e-05,0.00010991982018918191
204,8.110770151784221e-05,8.52467289261863e-05
205,8.06844114106896e-05,8.89249636920316e-05
206,7.429430331141798e-05,9.430274880478943e-05
207,7.717160116570947e-05,8.78220793981056e-05
208,8.252289126176038e-05,0.00011381851187539531
209,8.344101670924207e-05,8.731993607637521e-05
210,8.172361513540014e-05,8.532059636261118e-05
211,7.377755441427182e-05,8.711728457312442e-05
212,7.044356411106971e-05,8.208470612053613e-05
213,6.991171729073118e-05,9.646201559869376e-05
214,6.979297301624779e-05,8.461394463665783e-05
215,7.769149528700694e-05,8.778468633720063e-05
216,7.46538993026709e-05,0.00010256071369727387
217,0.00010852779546679046,8.726215961168667e-05
218,8.838804047914699e-05,8.722379118951626e-05
219,8.216562628149404e-05,8.647013562853987e-05
220,7.58986712801408e-05,8.542182637795217e-05
221,7.641947645185467e-05,8.656929467657679e-05
222,7.419550688849228e-05,8.665719934996512e-05
223,7.37124735822267e-05,8.380829546551563e-05
224,7.39586633866757e-05,8.69706024164579e-05
225,7.984951679119197e-05,8.361941658413823e-05
226,7.428799146605582e-05,8.612278485854499e-05
227,7.451420053353343e-05,8.30603323840095e-05
228,7.141802844719343e-05,8.550137327371263e-05
229,6.970300027157799e-05,8.619876883274533e-05
230,7.071677004875567e-05,9.452518746624456e-05
231,6.923666430674003e-05,8.956038570766778e-05
232,7.400191802126325e-05,8.498017689960666e-05
233,7.403058708931847e-05,9.282609665349714e-05
234,7.630255525950098e-05,0.00010235721511937874
235,7.694570316935394e-05,8.644670972563817e-05
236,7.32306972455071e-05,0.0001184805709942195
237,7.781550347748347e-05,8.606242887540965e-05
238,0.00010582950560427362,8.506958386676975e-05
239,8.245403468639492e-05,8.217413529851718e-05
240,6.863555860323494e-05,8.734831767230246e-05
241,6.810461957827915e-05,8.203496422777932e-05
242,6.404805265590671e-05,8.329339011412997e-05
243,6.781127350270828e-05,8.444503021708347e-05
244,6.869478784210514e-05,8.295052439758652e-05
245,6.834673944180587e-05,8.017884025129636e-05
246,7.034905743957527e-05,8.07508224266042e-05
247,7.62514900519531e-05,9.32406428067847e-05
248,7.235429051146831e-05,8.19728275497542e-05
249,6.529970931679647e-05,8.854375444475169e-05
250,6.678050902720363e-05,8.824933856407082e-05
251,7.604865035510126e-05,8.03833168710729e-05
252,6.844029918571131e-05,9.505429586983825e-05
253,6.731533506497631e-05,0.00011053739274900995
254,6.889970271865757e-05,8.377867044672664e-05
255,6.939214122930455e-05,8.57191177936712e-05
256,7.005772125155904e-05,8.265381888792802e-05
257,6.895789352998498e-05,8.53615902566449e-05
258,6.659334751116388e-05,8.391515592321459e-05
259,7.338770367488523e-05,7.839823075827505e-05
260,7.262039564107239e-05,8.131334049578167e-05
261,6.760205360478722e-05,7.863025721713999e-05
262,6.380841719682824e-05,8.543546228841143e-05
263,6.515260266544494e-05,7.760933428806694e-05
264,6.227392096709656e-05,7.923688099253923e-05
265,6.29935853124296e-05,7.786434568850764e-05
