Epoch,Training Loss,Validation Loss
0,0.06728469667335352,0.026287222746759653
1,0.014011597338443002,0.006379669299349189
2,0.0037751050510754186,0.0019971387227997184
3,0.0014201848127413542,0.0009846287866821513
4,0.0007505749546301862,0.000533677579369396
5,0.00043914807417119543,0.0003311394975753501
6,0.00030356413820603243,0.0002501023263903335
7,0.0002294636118070533,0.0002713362409849651
8,0.00019349854410393162,0.0001864562109403778
9,0.000155988259454413,0.00020072079132660292
10,0.00013985840293268364,0.00013329855210031383
11,0.00012578683211662186,0.00014684842608403414
12,0.00012248742956823359,0.00011543359505594708
13,0.00011916972798644565,9.422833318240009e-05
14,9.887586032467274e-05,9.650253741710912e-05
15,9.954201498961387e-05,0.000120854527267511
16,9.792010678211227e-05,9.360549302073196e-05
17,8.394911274081096e-05,8.144935964082833e-05
18,8.617459316155874e-05,0.00010000400470744353
19,8.488095093828936e-05,7.678783731535077e-05
20,9.547422693382639e-05,0.00011915900176973082
21,8.971329904549445e-05,7.27420010662172e-05
22,7.077032799619095e-05,9.38027624215465e-05
23,8.07246290302525e-05,6.718695476592984e-05
24,8.174842587322928e-05,7.592513065901585e-05
25,7.810081103040526e-05,7.043009463814087e-05
26,6.532422485179268e-05,6.937059242773103e-05
27,6.241054737377756e-05,5.915016299695708e-05
28,7.513948682268771e-05,9.977398258342873e-05
29,7.02772986793813e-05,6.810653212596662e-05
30,5.8578850196984904e-05,5.9324531321180984e-05
31,6.036195663909894e-05,6.240889797481941e-05
32,7.21557879539129e-05,6.06361027166713e-05
33,5.96779800010457e-05,5.2979706197220366e-05
34,5.774789012017815e-05,6.237688558030641e-05
35,5.59299503947841e-05,6.213998676685151e-05
36,5.550560308620334e-05,6.221345483936602e-05
37,6.276313276127136e-05,6.871351433801465e-05
38,6.102070619817823e-05,5.634515946439933e-05
39,5.3231930966527825e-05,5.151896857569227e-05
40,6.036112790752668e-05,6.510533421533182e-05
41,6.288317526923493e-05,7.565294617961626e-05
42,7.554809914533204e-05,8.081674604909495e-05
43,6.051801926029536e-05,4.925027951685479e-05
44,5.1825061867324014e-05,5.7069739341386594e-05
45,4.860176425912262e-05,4.47183238065918e-05
46,4.720296577337043e-05,4.672128125093877e-05
47,4.6936240444968765e-05,5.182054610486375e-05
48,4.991582051540415e-05,5.662135936290724e-05
49,6.177502873470076e-05,5.713472910429118e-05
50,4.81485041139725e-05,4.464668108994374e-05
51,4.863556775186832e-05,6.191817647049902e-05
52,4.998721718341888e-05,6.659129394392949e-05
53,5.783427635227175e-05,5.566981690208195e-05
54,5.41659942731106e-05,4.614780300471466e-05
55,5.1027373532027315e-05,6.035261139913928e-05
56,5.2942328814727564e-05,4.978607103112154e-05
57,4.9072363981395026e-05,5.467830214911373e-05
58,5.16434865858173e-05,4.418876051204279e-05
59,4.484798737394158e-05,4.167450151726371e-05
60,4.364830504831237e-05,4.475190507946536e-05
61,4.2343807823878406e-05,4.157981402386213e-05
62,4.5244969684669437e-05,4.469283612706931e-05
63,5.4176872072275725e-05,9.291019887314178e-05
64,6.754509328554074e-05,4.865510891249869e-05
65,4.60745241677311e-05,4.1491379306535237e-05
66,4.2212693369947377e-05,4.657553836295847e-05
67,4.321727998709927e-05,4.9166034841618966e-05
68,4.520988283426656e-05,4.783257372764638e-05
69,5.1909717755431e-05,5.246558339422336e-05
70,5.0240193619780866e-05,5.078029971627984e-05
71,4.2225158904329876e-05,4.401816659083124e-05
72,4.190059116808698e-05,4.142888246860821e-05
73,4.720850665762555e-05,4.846817137149628e-05
74,4.433393866444628e-05,5.4898159760341514e-05
75,5.4552177365015574e-05,4.695584902947303e-05
76,4.189699138805736e-05,4.673390412790468e-05
77,4.884274203504901e-05,4.112011902179802e-05
78,4.374907863772629e-05,4.5450768993759993e-05
79,4.212700502345494e-05,4.951696973876096e-05
80,5.168610138449973e-05,4.9869780013978016e-05
81,4.2409579085263736e-05,4.734454705612734e-05
82,4.634749505688281e-05,4.3557502067415044e-05
83,3.744772038771771e-05,4.5450158722815104e-05
84,4.0573258350680895e-05,4.243730927555589e-05
85,4.025434136565309e-05,4.1453653466305695e-05
86,3.8309776937239806e-05,4.549085861071944e-05
87,4.1768982191570105e-05,3.979942266596481e-05
88,4.057296124907831e-05,4.300392720324453e-05
89,4.150819841015618e-05,4.018263098259922e-05
90,4.014542028016876e-05,4.727708983409684e-05
91,4.206179898271027e-05,4.4480808355729096e-05
92,4.2803229735000056e-05,6.321643104456598e-05
93,4.923641972709447e-05,4.306800565245794e-05
94,3.8882921338275385e-05,4.172671469859779e-05
95,4.362483390044266e-05,6.893264799145982e-05
96,5.200702811028653e-05,5.325376696418971e-05
97,4.888145473766296e-05,6.007030333421426e-05
98,5.962593531876337e-05,4.391179209051188e-05
99,4.9948328281364715e-05,9.516924001218285e-05
100,4.5046334586610705e-05,5.0208666834805626e-05
101,3.776668988090629e-05,3.877865401591407e-05
102,3.6928503808060974e-05,3.807032135227928e-05
103,3.571348218732358e-05,3.678571647469653e-05
104,3.827156857975448e-05,4.25679736508755e-05
105,4.1949036797935454e-05,4.523468578554457e-05
106,3.90962607828745e-05,4.016174807475181e-05
107,3.9356101600181624e-05,4.0963578612718266e-05
108,3.8288442253057536e-05,4.852503479924053e-05
109,4.152086269944751e-05,3.946570723201148e-05
110,3.508763626693205e-05,3.761536754609551e-05
111,3.6526288871148914e-05,3.841694524453487e-05
112,3.9698683031019756e-05,5.538806362892501e-05
113,3.690978022253451e-05,3.7297146263881586e-05
114,3.47979261277942e-05,3.9631824620300904e-05
115,3.8840452058745235e-05,4.36623859059182e-05
116,4.079574525045852e-05,4.6628404561488423e-05
117,4.045654107661297e-05,3.8586572372878436e-05
118,3.617953698267229e-05,4.233942490827758e-05
119,4.274448838259559e-05,4.500782961258665e-05
120,3.8931578152793615e-05,3.7244959457893856e-05
121,3.6904426209124117e-05,3.90346513086115e-05
122,3.429605725007908e-05,3.7746771340607665e-05
123,3.252453104020485e-05,3.711431691044709e-05
