Epoch,Training Loss,Validation Loss,Training Discriminator Loss,Validation Discriminator Loss
0,0.31296701905758756,0.10983644612133503,2.012719519201078,2.4173426594999103
1,0.18713477304891535,0.16207075781292385,1.2247792758439717,0.7498966505130132
2,0.15342084479175117,0.21417881672581038,0.9322092219402915,0.9736313803328408
3,0.12042788451439455,0.06435108464211226,0.8227455462280072,0.8703896751006445
4,0.09529373769305255,0.05984163242909643,0.8223656579067833,0.8870688610606723
5,0.1143810206337979,0.09031247678730223,0.9474539941863009,0.7746195909049776
6,0.0829543829748505,0.08527469127956364,0.7401446238944405,0.7094900541835361
7,0.07879662452951858,0.08963599573406908,0.7139483075392874,0.7085401995314492
8,0.0760495480738188,0.06881358391708797,0.7003964069642519,0.7015458510981666
9,0.07530977865190883,0.067110241494245,0.6990751693123265,0.7053896768225564
10,0.07586658177407164,0.06773972459551361,0.7105851292610168,0.7114430367946625
11,0.07673015982696885,0.07086083303309149,0.7266913765355161,0.7106718106402291
12,0.08200178097345327,0.09513939109941323,0.7312011160348592,0.7319821748468611
13,0.07708756298218902,0.07644041006763776,0.7218468151594463,0.709737295905749
14,0.07511511113690703,0.0825073207832045,0.7032534762432701,0.7018550203906165
15,0.07485390417277812,0.05642265981684128,0.712675791978836,0.7533386415905423
16,0.07495682787542281,0.056435403931472033,0.7153024435043335,0.7355748249424828
17,0.07419433432974314,0.08596539807816346,0.7075631612225582,0.7024495800336202
18,0.07369658937187572,0.06767776008281443,0.7010704310316789,0.6968779083755281
19,0.07372259423136711,0.0723528220421738,0.6996798314546284,0.6947717633512285
20,0.0732400110285533,0.0736883148137066,0.6961904425370066,0.6951214820146561
21,0.07329263371464453,0.09885042388406065,0.702100659357874,0.7300647497177124
22,0.07627773455491191,0.06403942250957091,0.7176119085989501,0.7332514127095541
23,0.07641483394331054,0.06973783402807182,0.7301301893435026,0.7249902933835983
24,0.0734709077759793,0.07488721753988001,0.7025199018026653,0.6944245182805591
25,0.07259335368871689,0.07330372370779514,0.6945228887231727,0.6936315248409907
26,0.0724725884434424,0.06800222831467788,0.6940810467067517,0.6967916190624237
27,0.07272120245585316,0.07464142309294806,0.6964696564172443,0.6948526485098733
28,0.07250107589520906,0.07364009341431989,0.6954865832077829,0.6941052344110277
29,0.07283575817158347,0.07613751685453786,0.6961261768090098,0.6949723346365823
30,0.07327571540678803,0.07291027820772594,0.7012800837817945,0.695895415213373
31,0.07285121026399889,0.07856633969479138,0.6977015878024854,0.6962047649754418
32,0.07371663341396734,0.07393580033547348,0.7023118106942428,0.6989350103669696
33,0.072768412550029,0.07695573319991429,0.6986530714913418,0.6951645910739899
34,0.07401637387903114,0.05912891195880042,0.7088016306099139,0.7185398836930593
35,0.07237021009388724,0.07237858138978481,0.696069239942651,0.6938950204186969
36,0.07206077312952594,0.07442388931910197,0.6941209827598772,0.6954227983951569
37,0.07343658761758554,0.07019711410005887,0.6996109171917564,0.6956687437163459
38,0.0723620083379118,0.07498849183320999,0.6960100679021133,0.6944467541244295
39,0.0719735212624073,0.07279081621931659,0.6935813442656868,0.6930035021569994
40,0.07205892840498372,0.0722183423737685,0.6936927434645201,0.6932961791753769
41,0.07317902241882525,0.0712261941904823,0.7023742424814324,0.6993487725655237
42,0.07250885473270165,0.07490428599218528,0.6950814554565832,0.6969493197070228
43,0.07242476410771671,0.07304561634858449,0.6945529451495722,0.693231099181705
44,0.07293536129750704,0.0716855465951893,0.6970016881039268,0.6924094574318992
45,0.07214447973590148,0.07559376168582174,0.693660801335385,0.6940838032298617
46,0.07237846486662564,0.06421774656822284,0.6945844358519504,0.6985961695512136
47,0.0726495017346583,0.07846051226887438,0.6942860139043707,0.6949034912718667
48,0.0723878658523685,0.07549710882206757,0.6940617244494589,0.6939170791043175
49,0.07228250801563263,0.07329145032498571,0.6939441495820096,0.6950047065814337
