Epoch,Training Loss,Validation Loss
0,0.1593331224628185,0.06289468095120457
1,0.03337263353168964,0.021397295873612165
2,0.024500446854845474,0.01987834611079759
3,0.02013612534899853,0.011580936364933021
4,0.01340571885291291,0.011843661105053293
5,0.011725924066022823,0.008349861108904911
6,0.0094564665403021,0.007292995345778763
7,0.008662968435275711,0.009330526615182558
8,0.007768270602498792,0.006068639146784942
9,0.007109832717105746,0.005460577913456493
10,0.005745069596818403,0.006047167168516252
11,0.005758650042116642,0.006913432282292181
12,0.007343986053264847,0.00567227305792686
13,0.004763960866502633,0.003678948760757016
14,0.005135746623732541,0.00396431071890725
15,0.004629886870909678,0.0052639392928944696
16,0.004796865653540743,0.0035588764779580138
17,0.004174267046006494,0.004697623688520657
18,0.003946506265109699,0.0036062233654471734
19,0.006463928422645518,0.007614060421474278
20,0.005185493105091155,0.0049190657187460195
21,0.0037087809576309824,0.0028132066557494304
22,0.003095386392976108,0.0037375069417369864
23,0.0033076749305779997,0.003384736340699924
24,0.0034529058875418022,0.004278907675244328
25,0.0038706379930341715,0.003993226499814127
26,0.004098907605695881,0.003043290137106346
27,0.0029298181222800752,0.0024540858576074243
28,0.0028579816663343656,0.0055167922206843896
29,0.0036838180838937038,0.003743274771194491
30,0.003319272620137781,0.0031755923151245546
31,0.0026331602871467017,0.0042632312462147735
32,0.002794317185486618,0.003842583508230746
33,0.005817202645304956,0.0026709884987212718
34,0.003076972870009118,0.0031360217900429335
35,0.0032302386930065327,0.007418908709142771
36,0.004379385506342116,0.003359550746002545
37,0.002800858341843674,0.002946250645133356
38,0.0025127396275485426,0.0023924419656395912
39,0.002256679581478238,0.0028908367902557883
40,0.0022072621388360856,0.006894287821422849
41,0.0027109730216723525,0.0024545513960118922
42,0.0049904880824645885,0.0026282901655779118
43,0.002846362341906091,0.0033833081057916083
44,0.002357018718152846,0.002507135543661813
45,0.0018224851277313734,0.002175652247387916
46,0.002489755950917147,0.0019577053058633786
47,0.002419980587192664,0.003220753498478896
48,0.0024983749038686876,0.004192084973005371
49,0.002902688847634157,0.0027758166543208063
