Epoch,Training Loss,Validation Loss
0,0.15370994572838148,0.07813531403931287
1,0.061931834829350316,0.03984032707432142
2,0.03820367308954398,0.026966090851391736
3,0.027899985381712514,0.023711072030262306
4,0.026370527489731708,0.01929352733378227
5,0.021632216510673364,0.01686072972818063
6,0.016761457370594143,0.012013490419261731
7,0.011341467782234152,0.007984253201776972
8,0.007637103792900841,0.006746351521892043
9,0.006366447871550917,0.005937928530889062
10,0.005805280435209473,0.005341590006047716
11,0.0053756617506345115,0.00534123363188253
12,0.004868538929149509,0.004712783319589037
13,0.004537721457891167,0.004530653250045502
14,0.004385530059225857,0.004154884901184302
15,0.00401497512900581,0.0037533391195421037
16,0.00386497898803403,0.003711070166900754
17,0.0035206478104616206,0.0034589138365565585
18,0.003451355453580618,0.003463830852594513
19,0.0034203593588123717,0.003633921607755698
20,0.003453038282071551,0.00451962378484985
21,0.003500346451376875,0.0029779274482280016
22,0.002879318605797986,0.0027408490423113108
23,0.00268965947907418,0.0027965289325668262
24,0.002745860101034244,0.0026395580319401165
25,0.002601022619443635,0.002389250985848216
26,0.002461834588708977,0.0023703423301832606
27,0.0024441239214502276,0.00231590024374712
28,0.0025320857802095514,0.0024679486657707738
29,0.0023964709563491244,0.0022277059839465297
30,0.002190664045047015,0.0022953494290749612
31,0.0021315769548527898,0.0022759220133034084
32,0.0021288492421930034,0.002064304663620603
33,0.0021746658937384683,0.0020134614404434194
34,0.0019283004151657223,0.001906381172235482
35,0.0018611404214364787,0.0017992112955723244
36,0.0017906313474910956,0.0018159351490724545
37,0.001822852542779098,0.0018965649337937625
38,0.0020031766477040945,0.001995468162931502
39,0.0019099656810673575,0.001624205879544696
40,0.0017167450898947815,0.0016195173106657772
41,0.0016133164629961053,0.0016080035174337144
42,0.0015182532556355,0.0015202172306509544
43,0.001602983387031903,0.0014832311291964008
44,0.0015773342689499258,0.0018693511553395253
45,0.0019620418626194198,0.002378830722031685
46,0.0018526541030344863,0.002053956348950473
47,0.001749110020076235,0.0015774509117293817
48,0.0016105107582795124,0.0018893772100384992
49,0.001720228425692767,0.0019515217774404357
50,0.0018779789749532939,0.002107196397936115
51,0.0018066295593356092,0.0016105736319262248
52,0.001438108345028013,0.0015277667105412828
53,0.0012766741627516845,0.0014529349819685405
54,0.0013098123657982797,0.0013281401972143124
55,0.0011738982373693336,0.0012660205292587096
56,0.0012010710748533407,0.0011015849573036225
57,0.001107292134159555,0.0010876363174667438
58,0.0010413148258036624,0.0011056119356698429
59,0.0010983784298878162,0.0011011097924962926
60,0.001170984818212067,0.0013031073792192799
61,0.0012197598174680025,0.0010730210051406175
62,0.001103543077285091,0.0011328392608377796
63,0.000997379868446539,0.0009928095364907326
64,0.001033418068739896,0.0010637032660619856
65,0.0010869686487906922,0.0010955884287026352
66,0.0011235856858547778,0.001403238064645288
67,0.0010717604584836711,0.0010373320748420576
68,0.0009482651910123726,0.0009899599737344454
69,0.0009795677250561616,0.0010427275018838162
70,0.001000602556547771,0.0008669051480515358
71,0.0009313135865765313,0.0009089885816837733
72,0.0008846887950009356,0.0008817837045241434
73,0.0008782228194953253,0.0009311471031441425
