Epoch,Training Loss,Validation Loss
0,0.03859437848441303,0.009018476651464071
1,0.007153292554185579,0.006139767731332945
2,0.005593559553993768,0.004850239693445878
3,0.00396408127057121,0.0038510734577559763
4,0.0036207513944981127,0.0026988642962856423
5,0.002811781774078937,0.003564626534676386
6,0.0027157246803031546,0.0020253359204313406
7,0.0022145700824790096,0.002212676015915349
8,0.002433508323922165,0.0023541256442614314
9,0.002163400347834747,0.002638549825254207
10,0.002133848099038005,0.002549450676370826
11,0.0025445810611065675,0.0018026852501659757
12,0.0017452393872908463,0.001740733947372064
13,0.0017304281140432547,0.001626314239628199
14,0.0018480073544196785,0.001517404672793216
15,0.002102079956890329,0.0017493558051582011
16,0.0020081955884387226,0.0020954038611509735
17,0.001799114567448238,0.0014466615232069874
18,0.0014433936344606705,0.0016240773838944733
19,0.0018653468455580111,0.0015035738146656917
20,0.00142296177862016,0.0016138727175227057
21,0.0015854245100758578,0.0015256974276983077
22,0.0014687117293330008,0.0014851293106201207
23,0.001328583443108456,0.001340144611377683
24,0.0015557923017216748,0.0016888529709022907
25,0.0022009545312214056,0.0016470696460196956
26,0.0014312290084107142,0.0016523160932896037
27,0.0014854166442283283,0.00128792643146072
28,0.0012807791865749383,0.0021266087456347626
29,0.001328879520971034,0.002126034879539576
30,0.0013579594838359441,0.0013153262100078994
31,0.0011871826252900064,0.0011936803510050392
32,0.001244823005062675,0.0016961496536775182
33,0.0014723989187347653,0.001192124159489241
34,0.0011564942965234973,0.001072101497104288
35,0.0011907657357177843,0.001379820621675915
36,0.0012693502943301083,0.001245712382822401
37,0.0011443355904990121,0.0010242077276214128
38,0.001156498498810259,0.0011218701369620652
39,0.0012605845257272258,0.0015694458884859665
40,0.0011624505758702167,0.0011107559726547657
41,0.0010862277042561848,0.0012836747563495818
42,0.0011540779188324354,0.0012576335607769175
43,0.0011548876609212082,0.001148606540583488
44,0.0012353585297731977,0.0012330608474763317
45,0.001350141111087348,0.0009946266493190909
46,0.0013248175502093018,0.001422173049326779
47,0.0011206797952151024,0.0012890031648566946
48,0.0009990153901622092,0.0011581494440583305
49,0.0009495019609427177,0.001348456781771448
